"text";"count(*)"
"""Isis Wayang"" sbg perawatan wayang kulit. Acara ini digelar pada rangkaian HUT ke-125 Museum Radya #KotaSolo https://t.co/tzMp8aRTNr";"1"
"""Iso nembang, ra iso nyuling, Iso nyawang ra iso nyanding."" #pepatahjawa";"1"
"""Jangan kacang winor kara, kaduk uyah kurang gula. Piwelingku mring pra siswa, aja wedi ing rekasa."" #parikan";"1"
"""Jangan Menerima Telpon di Mobil, Nyawa Anda dan Orang Lain Akan Melayang"". #SoloTertibLalin https://t.co/7bKJRdKTqX";"1"
"""Jorong Cafe n Resto""
Good Food Good Place Good Entertainment....
Daftarkan segera… https://t.co/q4DxXxGVAk";"1"
"""Judge a man by his questions rather than by his answers."" - Voltaire // Pagi Eventholic :D";"1"
"""Kamis Senja"" EDM Goes To Accoustic BESOK! 5 Nov @ Teater Terbuka UPI, FREE https://t.co/13haSEIIAP";"1"
"""Kamu homo ya?"" tanya Tarzan sambil gandeng Susilo. Jangan lewatkan: Pentas #NyonyaNomorSatu @infokayan #LivetweetSE https://t.co/SbaEeE4mDu";"1"
"""Kelas Nyoting!"" with Kompas TV at Clapper Movie Cafe 12 December 2015 start 7PM

FREE lho Cah… https://t.co/wTXceSBj3D";"1"
"""Kembalikan Trotoar City Walk Pada Fungsinya"". Tertib Berlalu Lintas Cermin Budaya Wong Solo. #SoloTertibLalin https://t.co/spMB2ogrvx";"1"
"""Life is what happens while you are busy making other plans."" - John Lennon // TGIF Eventholic :D";"1"
"""Life isn't about finding yourself. Life is about creating yourself."" - George Bernard Shaw // Pagi Eventholic :D";"1"
"""Line Up Berbahaya Sambut Dekade Baru RIS"" #RIS2015 @Rock_In_Solo https://t.co/94JtKKz5bR";"1"
"""Mari Ciptakan Lalu dan Parkir yang Tertib, Lancar dan Selamat"". #SoloTertibLalin https://t.co/ZdNXLMuTJm";"1"
"""Masih Muda Jangan Mati Di Jalan Karena Kecelakaan"". Tertib Berlalu Lintas Cermin Budaya Wong Solo #SoloTertibLalin https://t.co/AYOz5K2icz";"1"
"""Minggu Anti Korupsi"" @EBK_BEMFEBUGM http://t.co/WtaoN0yfHD http://t.co/fD09IjqIHP";"1"
"""MOTTLE"" (Motivation Training and Learning) | 22 Nov'15 At  Aula Garuda Muka FKG, Unair A | 0877 501 866 46 https://t.co/w9DENZHnkb";"1"
"""No one succeeds without effort. Those who succeed owe their success to perseverance."" - Ramana Maharshi // Morning Eventholic :D";"1"
"""No one succeeds without effort. Those who succeed owe their success to perseverance."" - Ramana Maharshi // TGIF Eventholic :D";"1"
"""Nyangking ember kiwo tengen, lungguh jejer tombo kangen."" #parikan";"1"
"""Nyawiji"" Launching Sanggar Seni Kinanti Sekar, 5 Nov '15 di Rumah Kelas Pagi Yogyakarta | Info: @sanggarkinanti https://t.co/K3m3U16K2t";"1"
"""PESANTREN HOLIDAY "" MG DAQU SEMARANG 21- 23 Des 2015

Kegiatan seru dan mengasyikkan mengisi… https://t.co/1i6sVIaErq";"1"
"""Pulang kekotamu, Ada setangkup haru dlm rindu"". Yuk nyanyi bareng @KLaProject di @TransStudioBdng 17/10/2015! http://t.co/th95rDjI0r";"1"
"""Remember that you are unique. If that is not fulfilled, then something wonderful has been lost."" - Martha Graham // Pagi eventholic";"1"
"""Remember that you are unique. If that is not fulfilled, then something wonderful has been lost."" - Martha Graham // Pagi Eventholic :D";"1"
"""ROAD TO DWP 2015"" ? DOORLY &amp; OLIVER DOLLAR @ Blowfish, Jakarta
.
» cc: @blowf1sh @doorlydj… https://t.co/WbHitGkJHA";"1"
"""Securing Cloud Computing from Hacking"" -Seminar Nasional

Pembicara 1 ''Onno W. Purbo"" (Pakar IT Indonesia)... https://t.co/7YXDsyFBlT";"1"
"""Securing Cloud Computing from Hacking"" -Seminar Nasional

Pembicara 1 ''Onno W. Purbo"" (Pakar IT Indonesia)... https://t.co/pwaXPNj29G";"1"
"""Securing Cloud Computing from Hacking"" w/ @onnowpurbo , Suwandono info:  https://t.co/23iknWcMvl @himatifums https://t.co/QcwbaacDWW";"1"
"""Securing Cloud Computing from Hacking"" w/ @onnowpurbo , Suwandono info:  https://t.co/RazpKbaDPB @himatifums https://t.co/QcwbaacDWW";"1"
"""Sedikit Empati dapat Menyelamatkan Orang Lain"". Tertib Berlalu Lintas Cermin Budaya Wong Solo. #SoloTertibLalin https://t.co/fWVl9ZJsXw";"1"
"""Selamatkan Pejalan Kaki"". Tertib Berlalu Lintas Cermin Budaya Wong Solo. #SoloTertibLalin https://t.co/QhIJfaibQh";"1"
"""Senyum Bakat Balikpapan"". Come and join with us #eventbpn  @Madan_Angelo  https://t.co/5cXHFx4ZMF""";"1"
"""SILATURAHMI MOTOR MOBIL OTOMOTIF KALIMANTAN""KE-5 (SIMMOK ke-5)
Event dengan konsep penggabungan hoby… https://t.co/ZPn0aA1TV4";"1"
"""SOLO GERRSERI"" 20 Nov 2015, pk.19.00. Berkumpulnya Dagelan Segala Aliran. Datang &amp; Ngakaklah! Gratis! #EventSolo https://t.co/hj18plckF5";"1"
"""Some beautiful paths can’t be discovered without getting lost.”~

Shoot by @haris.fa 
Wardrobe tenun pagatan by... https://t.co/wi2y3TAdeJ";"1"
"""Sometimes the questions are complicated and the answers are simple."" - Dr. Seuss // Pagi Eventholic :D";"1"
"""Success is nothing more than a few simple disciplines, practiced every day."" - Jim Rohn // Happy Monday Eventholic :D";"1"
"""Success lies in doing not what others consider to be great but what you consider to be right."" - John Gray // TGIF Eventholic";"1"
"""The Beautifull Eyes for Your Natural Beauty"" Lashesta Eyelashes | 20 Nov'15 @alicetearoommlg | Info: 0819 3187 6688 http://t.co/G3Af4OHnnY";"1"
"""The Fire Bender"" » Photo was taken for FOOD FURIOUS @ Mal Artha Gading
.
» Cc:… https://t.co/98IuNYwqkD";"1"
"""The Fire Bender"" » Photo was taken for FOOD FURIOUS @ Mal Artha Gading
.
» Cc:… https://t.co/pjkjPhBfv2";"1"
"""The greatest happiness is to transform one's feelings into action."" - Madame de Stael // Morning Eventholic :D";"1"
"""The man who does not read good books has no advantage over the man who can't read them."" - Mark Twain // Pagi eventholic";"1"
"""The Rocktober"" by Antida Sound Garden is today! https://t.co/dEc18b1Ej3";"1"
"""The superior man is modest in his speech, but exceeds in his actions."" - Confucius // Pagi Eventholic :D";"1"
"""The true value of a human being can be found in the degree to which he has attained liberation from the self."" -Einstein // TGIF Eventholic";"1"
"""There is nothing better than a friend, unless it is a friend with chocolate."" - Charles Dickens // HAPPY Weekend Eventholic :D";"1"
"""They always say time changes things, but you actually have to change them yourself."" - Andy Warhol // Have a great Weekend eventholic :D";"1"
"""Think in the morning. Act in the noon. Eat in the evening. Sleep in the night."" - William Blake // Happy Sunday Eventholic :D";"1"
"""To live a creative life, we must lose our fear of being wrong."" - Joseph Chilton Pearce // Happy Sunday eventholic :)";"1"
"""Trotoar dan Jalur Lambat Bukan Untuk Parkir"". Tertib Berlalu Lintas Cermin Budaya Wong Solo. #SoloTertibLalin https://t.co/mlt5dCslDc";"1"
"""Tuhan Satu"" Lani Frau album Happy Coda .. *ada bau2an harum dgn rasa harum bervariasi #KonserTentangRasa https://t.co/Bx8Xxm0MTl";"1"
"""What a wonderful world"" by @officialkennyg di @mldspot @PrambananJazz malam ini #LivetweetSE http://t.co/K3AabBdi9l";"1"
"""When we seek to discover the best in others, we somehow bring out the best in ourselves."" - William Arthur Ward // Morning";"1"
"""Write it on your heart that every day is the best day in the year."" - Ralph Waldo Emerson // Happy Weekend :D";"1"
"# @Clasoundsation Sabtu, 14 Nov'15 w/ @TwitChangcuters &amp; DJ @my_lovelylens di Lap. Parkir @artos_mall Magelang https://t.co/Yo2TxsAdGU";"1"
"#10DAYStoDWP15 
Have you secured your tickets? 
Get your tickets now on… https://t.co/GiJxXBkfYH";"1"
"#10DAYStoDWP15 #DWP15 TICKET UPDATE:  2-Day Pass tix are almost sold out! The rest is selling fast!  https://t.co/GsrVVCBHHY via @IsmayaLive";"1"
"#11DAYStoDWP15 by @IsmayaLive, See the complete official ticketbox list here: https://t.co/kLaXGcG6aL  https://t.co/11BOo6oHNk";"1"
"#13DAYStoDWP15 by @IsmayaLive, See the complete official ticketbox list here: https://t.co/kLaXGcG6aL  https://t.co/11BOo6oHNk";"1"
"#3DaySpecial @TGPSurabaya | Disc Up To 70%+20%, Free Voucher, And Many More | 11 - 13 Des’15 | 031 5240 6000 https://t.co/V4l1jYOw4Y";"1"
"#3sec2015 Semifinal Round is TODAY! Selamat Berjuang para peserta Olimpiade Ekonomi! ?081222695955 @ksei_Iseg https://t.co/X6DEkAjQEl";"1"
"#4DAYStoDWP15 by @IsmayaLive, have you secure your #DWP15 tickets? Get your tickets on https://t.co/uuSMWzwHq4 https://t.co/udRmgPVVdy";"1"
"#4Gplus4all kini sudah bisa dinikmati di kota Solo. Anda cukup upgrade ke galeri @IndosatOoredoo terdekat https://t.co/YDZoPQA97o";"1"
"#5thErupsiMerapi  25 Oct 2010 
#Jogja @gunadharmario
 bisa minta infonya kalo mau ambil foto merapi meletus drmn ya yg bagus ? #JogjaUpdate";"1"
"#5thErupsiMerapi  30 Oct 2010
@madalkatiri: Tim distribusi bantuan &amp; Merapi mletus! Hujan Abu Tebal! RELAWAN DI BERINGIN SEGERA PUTAR BALIK!";"1"
"#5thErupsiMerapi @BPPTKG rekaman seismograf letusan Gunung Merapi 26 Oktober 2010 https://t.co/TRPcKbrZjb";"1"
"#5thErupsiMerapi Bahwa semua yang ada di Dunia ini hanya titipan dan sementara,,hasil jd relawan pendata di Youth Center Jombor | @svkmana";"1"
"#5thErupsiMerapi sty didepan rumah,siap2 meluncur ke arah kota,tinggal saya dan polisi yang jaga di km14 /3an pmungkas | @agilsoebarcah";"1"
"#5thErupsiMerapi tengah2 ujian di UII, letusan terdengar, liat keluar jendela asap hitam sudah membumbung, mahasiswa bubar | @muizkhariry";"1"
"#92thPersisSolo Menaruh Harap Pada Generasi Emas. #PersisSolo https://t.co/FpeTJ3cAo6";"1"
"#@tanyamistis @nurrakhmad_: bangunan mistis  semacam rumah mantan ?";"1"
"#acara @dewatacosplay
TOKYO FIESTA 2015 - 2nd Anniversary Dewata Cosplay 01 Nov 15 at Taman Segara Madu https://t.co/xhhXYQGCdI";"1"
"#acara Art Event w/ @pygmos @EmoniBali @rocknrollfast @MCK_Bali @SCAREDOFBUMS_  @NosstressBali @TheDjihard 13 Des 15 https://t.co/pX2S2AgdE5";"1"
"#acaranews &gt;&gt; @NusaDuaFiesta
Run to Give 2015 http://t.co/JAsjHnjBo7";"1"
"#acaranews 27' Lerby!!!! peluang yang cukup baik hampir menjadi gol. hayo semangat @baliutd! #BaliUnitedDay";"1"
"#acaranews FADIL GOL! @baliutd 2-0 PSM Makasar #Penalthy #BaliUnitedDay #SudirmanCup";"1"
"#acaranews FINAL PERTANDINGAN @BaliUtd 4-1 PSM MAKASAR (penalti) #BaliUnitedDay #SudirmanCup @Semeton_Dewata @BaliUnitedFans";"1"
"#acaranews Hari ini @bemfkp_unud adakan Pelepasan Tukik dan Bersih Pantai Kuta http://t.co/R2McpGvkEX";"1"
"#acaranews Hingga menit ke 48',@BaliUtd vs @SemenPadangfc masih 0-0, hayo semangat semeton #BaliUnitedDay ! #semetonDewata #SalamMenyame";"1"
"#acaranews Skor sementara @baliutd 1-0 PSM Makasar #Penalthy #BaliUnitedDay #SudirmanCup";"1"
"#acaranews SUKARJA GOL! @baliutd 3-0 PSM Makasar #Penalthy #BaliUnitedDay #SudirmanCup";"1"
"#acarasemarang : Distro Clothing 1-4 Oktober 2015 | Wonderia #Semarang";"1"
"#AcaraSemarang : Expo Industri Keuangan Syariah Nasional di Mall Ciputra | 20-23 Agustus | Review singkat klik http://t.co/INbtbMkhDo";"1"
"#AcaraSemarang : Festival Future Leader Summit 2015 | Wisma Perdamaian Semarang | 19 Sept | More http://t.co/OPGtEbpbzP";"1"
"#AcaraSemarang : Forum Kreatif Semarang |  Jumat, 18 Sept 2015 |  Wisma Perdamaian | 14.30 WIB | Info cek hashtag #ForWed";"1"
"#AcaraSemarang : Galaxy Market di Mall Sri Ratu | 9-11 Oktober | Info http://t.co/ybPEkMRvWr";"1"
"#AcaraSemarang : Gelar Fashion Batik &amp; Tenun 2015 | Java Mall - 2 sampai 7 September";"1"
"#AcaraSemarang : Hari Ini! Festival Kota Semarang 2015 dimulai  http://t.co/6r9E0YDqmz";"1"
"#AcaraSemarang : Nobar film dan diskusi | Parade Indonesia Raja 2015 di Semarang  http://t.co/wOXX7PphIF | 14 - 20 Agustus";"1"
"#AcaraSemarang : Pameran Franchise &amp; Peluang Usaha Nasional Terkini di Kota Semarang, 21-23 Agustus 2015 di Gd.Wanita";"1"
"#AcaraSemarang : Pameran gadget di Java Mall akhir pekan ini. Sudah dimulai dari kemarin. Info tanggal dan tempat &gt;&gt; http://t.co/ybPEkMRvWr";"1"
"#AcaraSemarang : Pameran gadget di Java Mall hari terakhir | Foto &amp; review singkat &gt;&gt; http://t.co/ce8z73K3Ed";"1"
"#Acarasemarang : Pameran Komputer 25-29 September | Java Mall #Semarang";"1"
"#Acarasemarang : Pameran Produk Unggulan Jawa Tengah | 23-27 Sept | Paragon Mall #Semarang";"1"
"#acarasemarang : Pameran Semarang Industri Kreatif 2015 di Atrium Mall Ciputra | 10 - 13 September #Semarang";"1"
"#AcaraSemarang : Peringatan Pertempuran 5 Hari di #Semarang | 14 Oktober - Rabu | Mulai jam 16.30 wib | More http://t.co/ybPEkMRvWr";"1"
"#AcaraSemarang : Semarang Gemstone's (Batu Mulia) | 20-23 Agustus | Dp Mall";"1"
"#AcaraSemarang : [15 Sept] Jazz In The Mall with Bateeq &amp; Sivex di Mall Ciputra | More http://t.co/OPGtEbpbzP";"1"
"#AcaraSemarang ; Lawang Sewu Expo | 26-30 September di Lawang Sewu";"1"
"#AcaraSemarang hari ini  (9 Oktober) ada 2 event. Cek http://t.co/ybPEkMRvWr";"1"
"#AcaraSemarang hari ini : Pameran Riset Arsip Dokumentasi dan Seni Rupa  | @ Tandok Ribs | Info twitter @orart_oret";"1"
"#AcaraSemarang weekend: Borobudur Travel Mart &amp; Expo 2015 di Aston Hotel Semarang | More http://t.co/ybPEkMRvWr";"1"
"#AcaraSemarang: Semarang ITT &amp; Public Service Expo (15-20 Okt) di DP mall | Info dan review http://t.co/xWJ76vOpG0 http://t.co/8aSjenFmcx";"1"
"#ad @Clasoundsation Sabtu, 21 Nov w/ @SamSonStheband @AuraKasih87 DJ @kartikaayu di Lap. Ex Batalyon Cilacap https://t.co/E4RB18LZto";"1"
"#AirportRunningSeries20152016 SOLO, December 20th, 2015 | Register here &gt;&gt; https://t.co/II91tstaBQ  @AirportsRun https://t.co/ZUT0qEO92D";"1"
"#AirportRunningSeries20152016 SOLO, December 20th, 2015 | Register here &gt;&gt; https://t.co/II91tstaBQ https://t.co/EceDFLlNxL";"1"
"#Akber109 ""Basic Knowledge Tekstil for Online Shop"" w/ Ekover-Owner Baraka Tekstil Minggu29Nov15 jam 15.30 @WedanganBisbro iNFO: @akbersolo";"1"
"#AKW18 @OSISPKSmaneka w/  @TipexBand @MonkeyRude_SKA etc | 14 Nov'15 At SMAN 1 Kepanjen | 0856 5557 5939 https://t.co/dytZN5LynF";"1"
"#Artalase http://t.co/5KlCnjWpFC";"1"
"#ASPfest 2015 by LPM Aspirasi UPNVJ. 6-7 Nov 2015. A festival for youth movement! Cc: @LPMaspirasi https://t.co/g90eXqIFw5";"1"
"#AYES2015 yang ke-7 ini ada game experience zone yang dapat dicoba gratis https://t.co/0IPTbeGJq8";"1"
"#AYONGOMONGO 
Ojo meneng ae, rek!
Ungkapkan aspirasi &amp; apa yang kamu mau | 3 - 5 Des'15 | Info : 0878 5310 2595 https://t.co/2GHQTZ5v7p";"1"
"#BACKSTAGERS Profil ProComm Organizer: Be Creative Or Die https://t.co/y5sMcHGkn0 cc: @sofyanprocomm https://t.co/600ww5q4Hk";"1"
"#BajakPlastik2015 is coming to town. Come and join us to make the changes! https://t.co/3GxcYsp5j2";"1"
"#Bali @theevent81: High School Carnival 20 - 29 Nov 2015 || @beachwalk_bali #theeventbali https://t.co/ugKpIRLO3C";"1"
